hash,buyer,seller 
6bSMSdPf1TE3MiqZzFmLVFWiThQnCoxjftrCeZnLUokrc3zLsFA6djuUsRp8VudNuu6TWCtjn94Mnd83H9QSuZg,6qiy9svSzVHVXmHEne8QpqtTDM2gKSRZPaSXYh7yvj4Z,iG6s99Ym9XTUCRoPyPXjF7D8L3pp1zA8PWp8yWPZzWB,0.9696969
ARx3abpU3BT2NDNegP54bHJVtT9mSicuxRdGxKhqnctPKZbQA5auLq7Q5dBEtqEmbyNitEvy6MnB5vdkH77Ndgx,9pducAz9N9EV9aDV5qgwCeZaP2bhKGtsDrSdY4ibMM7S,DkuybM599k5j6zTEifENBb7SsEatQwUBH8Y3D4DdnLWN,0.375
GxP8F8j4oX4kmwmJmhW8uJV4zGzbftF3Jn8zGEdCDg4WgkSpVGPguJ1WuTdJLtNJppfcoQPrZ7yNrdYhBJd4jrq,DkuybM599k5j6zTEifENBb7SsEatQwUBH8Y3D4DdnLWN,ES6L4yRR5ezUwvDQ28NgrgtxaLqsLmqx9aXiZka4MwrQ,0.87
5UvV53ZppidRZqhMAeHmCqjd4wqrGpvCv3bwEpyVBQDXg4w2SESzdAWP1iFkrcGoYtuxvKbeUALQeRPQatp2Hc9R,ES6L4yRR5ezUwvDQ28NgrgtxaLqsLmqx9aXiZka4MwrQ,8EU9nJtQFJx6FysnD8B2DeKa7wp6uPMRi6mnpLGAWgLM,1
3VPLSPgKc4fqL2qhm7W1f2cPjzpUqx8MvPBAyVAeyXsCK3mifMYTMwk25WJGe5iCHrqebLf8x6nK5k9YCg9wGd5S,8EU9nJtQFJx6FysnD8B2DeKa7wp6uPMRi6mnpLGAWgLM,9Er9Vk7TkyDSJupZZiFWCrzJY1ntwXnBeN1yLezoCHUr,0.5
5rjtJirjYd6kGLR3vFuCeqMNBNP1XjCmdNHNsy6g7eYKpsXtRa279FDDdZqhmzwM65C1Wno2F2sYF13VFEtJcRcQ,XonMTQ9JBMrmutKS3wHpQNBvyJBDtueLarzFfsPMrFd,GShXwaz9TeMwtjvWRJUeBdcjpqSwQvaFiPcDfVUoVAvg,0.46
nMahhZSfQpkYt7R3sXQ8qH2Fz6YUM4fV9UWMh7pUaVUTMsgMxVQBf7MoXgYqNupJoPbWRgtTKwK4jVLqUvdBm61,GShXwaz9TeMwtjvWRJUeBdcjpqSwQvaFiPcDfVUoVAvg,9bDacEnfhhgSKNyFnZfTeySneRLjorojmePYC8S1Nvyx,0.7
3fdTawAW7VQKTVTB9T6mM9ip1sPbVTzTRsiQ7Y17MXciudjNhrBwJcoyf8TzLrYuqomcwjGWMf5711Xo24cVdFen,HcqXPKkfxBiG2Mm95VKo9ggWxAB5pFfqNq4ZqdEHkxkJ,9n7yoLyTL8KYuHc4qTuWrbZFTn6JZBEt1tRoAjLa2RAB,0.4
htPPTrtrNnA1DEZKhtyX9QNUYtoGZaoeMqvLPKXdxBerHgz12cvikkDaB8N44NywEWWSC3woiYKrsgVZKUVFeoW,9n7yoLyTL8KYuHc4qTuWrbZFTn6JZBEt1tRoAjLa2RAB,r2X32k5gt9Ssa3ix3Co5KoyRTQrR6wTcZyvFX4AemS5,0.8
8gbGamDVk1kF7fin1UY5kYZu8AqzSXYyVFUQU27HstGLaiCqLS71F79vnZaUGpWCcZeCjvwMJHb88Ut8kxuoHMv,7borfyhG9b1F2D4eFvtBi6KZsTkHBqaL48JRmdjYZHR4,BbZZhULJnQ1V1FZxqSpq6A7qd8KdTCFqkNDH8ATMHAFS,0.009
57MB4Eeu6PVPqPtu5MkYUK6qGw9fvNvfAXdYUb88QcZeKZma9QGLDFnLm2wAN7wY31iXTW25X8MiK55f8bj9mEsz,BbZZhULJnQ1V1FZxqSpq6A7qd8KdTCFqkNDH8ATMHAFS,FTSidrkfLZe16CyR8tRTZ7NgCMM9ydWTkfgMqHzpqhFr,0.6
asHKG5jZfkRzYigFXwzfmXUjBEY4HzfJUurKCe2K6jtf3EtVd1whvNmxcL3AE8mkQUEAHhACNrfhuRN1XLpGQmn,FTSidrkfLZe16CyR8tRTZ7NgCMM9ydWTkfgMqHzpqhFr,Gw5KrfJJLRFBZBHUE3mw5rjcyZDihb7G3PLM76eL5NLE,1
3Y47NtSwgYnFLBg3kFB6ZsRrWf3YjcaGWWEaateNgSrurgM9FAQb3J2LNQG2jVh2rtdZFbyrvRK2kALKDxXUT56W,Gw5KrfJJLRFBZBHUE3mw5rjcyZDihb7G3PLM76eL5NLE,6xvf7DF3xHK3BzEUnGMiRmSeR2ncPkmZ6ozvV7ZqhwMo,0.54
2voW6x6wdCuQePN238vU5rGyXMRB4ZG5kZPwy3wtrapfLeLNdczJA6PtDmaJgmwvMNvKmw6sXznoosv24XWVhbAJ,5LBKENVprSkjoUgZjKrwn5ycK9PYDuGGodETeD8k9e3V,44hjnNe9wumkL15wKSFVcbA16FSWQD6mMXk8MNSWdyid,0.6
