hash,buyer,seller 
4eetJ5RBfmMCcihhe5uyARzCt3mWS9moEggC9muVFqJAiGJHJj9vAdsjUUPJjp9W31krzPEPY3xUwNiGs5REQrD4,56pMph6u13wmuSXNGSG3AXeqYnhvzv2cahFQz6fUMNXT,DRVNhiTBqoNbzfTqaqPpiZiBwyYrjrT98vV6tVjfVN59,3.48
4gfxWG44NMVCmZvkFZ3Xow5BR6XsDkr2j11doRSTMpCNyrzQvnHEf3hB5R99KnwmA17LvkaXa5z2yjsxYFByasPQ,DRVNhiTBqoNbzfTqaqPpiZiBwyYrjrT98vV6tVjfVN59,D8KUmwMJwEanQE5vFHRQCSgFbXuHQa4ZoyYVT4fc2j8n,1.11
4iF9Ywd26yhD1HG4ei3hXLA3P8QdbWDoJstksqbY9R8iYLL1cFCtmnJxt3KYaksVjBjDvVx5Tu7ug6pxzUwHvne6,EZgh6NUDbv39aRE8w7Qvjz9MoLaD774i24UdLmnAiQQr,D8KUmwMJwEanQE5vFHRQCSgFbXuHQa4ZoyYVT4fc2j8n,1.11
2fsPtcoyVGDHWw4HzZHp1nhztZSzfVRn6Cffkj3gzRdBrMQSXioCHKnRFXngwwQmv3jFRMef28rYKJFJiLyuEGVK,AdMypCxkngPMVH2SsXoEyqMsk4uRkscEfprV9bVZKSEi,HrSWtsPxtWGwXjHi4jHewnWQTMRHq3HBnUvdLJU3Hqsu,2.25
3LzCHnGu5AruzjD3LP4c573guAY8NPbgF4LXRZ4zYRTJX4xTVbgY42cTpYxiDuJfgHuxzuZjN2yzQfEbc6ozgjgf,HrSWtsPxtWGwXjHi4jHewnWQTMRHq3HBnUvdLJU3Hqsu,D8KUmwMJwEanQE5vFHRQCSgFbXuHQa4ZoyYVT4fc2j8n,1.11
65Newm8AXMNPfefdKj1cp4V8DmaFymHaGUdAvrionfCM5VewxRPU4p5WDCTMdvNnEuip643EyqVcB9joFnFbJth5,GGpxmaJvthLmLqSrL84tRc8pZuLcCrBKHh723cevwqX2,9r4pkvthSgZ54dTxuyPxcJdDZM16PKuFUpEYe4YAE1JV,3.59
58MT2wh8a6mw6YDmzM8CxcJAKHXy2z6sfwNsknfXX6MdUDZe33F2FQy7uPc5CtFSPVqwnXgydG4YdSg6FGBJmJfH,9r4pkvthSgZ54dTxuyPxcJdDZM16PKuFUpEYe4YAE1JV,D8KUmwMJwEanQE5vFHRQCSgFbXuHQa4ZoyYVT4fc2j8n,1.11
5GLJqS3QAhuCQuvZa57g6RQcNCnA3X759G94dh6FifZExnXLm9LJZQF9raBfdbyKET6XEFswWTrEhuqvYU2qssnb,H3AkHZHfcqGCcJpBn3FJWe52LcLxFMJQoZvZ6XyApFWf,Hd7s5SReDTPXYvkke67WzGUuPrCpRX29VJH4zxSo5BLh,2.6
38drFpGaYzoZpmQFTJxg1H2mJjTZ3LvJ2z6U5x9hS2NyQkQdGBDMF5YoLPQJYADDPHq5zf2TukVzERDydgYJ6HX4,Hd7s5SReDTPXYvkke67WzGUuPrCpRX29VJH4zxSo5BLh,D8KUmwMJwEanQE5vFHRQCSgFbXuHQa4ZoyYVT4fc2j8n,1.11
3zpuJp3Af296xBTYbxwy9QoY8bgK75AM8yYQaPfp5XBRbcG79zCfQf4MBqzKB5UUExsrfQMghHvtvKCugE6xivg5,KbNdXsGb5JxTd1Eh4wVamo28sKqj2MNVSin4tqDL8dx,2EvFaj53iALdHrGyDwT7dUVmDyewULhKnacjvDqVaGJ1,1.9
5nbMFBJWuJPdEvX5ME45HeWTyhoHfaMkSBSuvez8HHwsyPhLoBKrc3hQT4HuLMy3EAGyDx1Aajtye953vrvHiF4V,6p5FRc2PQ95pAqk16BsTQcygUQvQB4kKXi8Wn5KtBQun,D8KUmwMJwEanQE5vFHRQCSgFbXuHQa4ZoyYVT4fc2j8n,1.11
2dv63Doc6raBrXTs4wdHNCYBtXLspBCGZ9r1BXvZQwvn8u1s79qptvpBNC3qoWE9D7BCzJbdPZhfxZ3uj5gbkU5V,3C4wsb7rf2UqqGYHqtdDDsjzcffnrE1a7QaQuYHyY1mv,2EvFaj53iALdHrGyDwT7dUVmDyewULhKnacjvDqVaGJ1,2
aDsK12DMxE5qfmFhsFTt2RtSV5p3Q5tSgB4ZztbTjy4YyoX3Ame3RYa66UbaipFwk8XBKo9zBeLB5UR5StM4cdQ,6mAHycMybcZpQHWTaoXukJ6Zk8qfiZu3roZGp582wpNW,EgzL2YyJFVr3iwWy87AT9JPjem1jytX8r9Xa2Hq4fuz5,2.3
