hash,buyer,seller 
4UEL9k86CRvXz9BX6rtc9p4AtrBNEUKnNunaZCiUAWyQr2WQp1h1wDPLpjoE4p2maRqzASoToQYJ8yd9QSnmB6cw,6mXDuv32bCcjjancKMQCzPSi3bayLvVn5oS2ZSymgrSA,FiLdxrAeR1UA79ywDubJR9RFzpLoWur96Li7kvqbt2dN,4.85
25DhEXiqr1ysBVrcXVmAWTdg74YUKKVxYeJgtYFeTj5iL49rpGL6CQU5AyNQysiBMCezqsXuvyvX6akyVsCjbbTC,FiLdxrAeR1UA79ywDubJR9RFzpLoWur96Li7kvqbt2dN,FYouRQbrUbG3bzRGv3iaTAPuxWgHdH4raxxBHo7w1M33,3.2469
5DHkyXKjAW9onXjtYTf1FEJEbbUu5HiXFECoGmwV94qV6u4tEamNkAXH5aBS3bvQMZ9jFJXDQk2vfBCH6sLyczhS,FYouRQbrUbG3bzRGv3iaTAPuxWgHdH4raxxBHo7w1M33,93WbteZH6nrWeHd5JT6mJE5VHbWcCTDZzzqqnpZ98V9G,2.65
5nZtQtLF7MWRyN8C2nDe5FhoUwNrmXXYjh3yT8Zsft7JFEFPeXr1Nop6aQCzKmUMhLnwwPxtp4s7XK1p1ScUgDQt,AWik3iHtiiHkndrEANaGZZKzGbdEiwLDDVo9a6hNGnYs,fRwSG1LriABcwafhyR1JuYj5zq2ZQ27pkChg28d4a2k,6.969
2hsX2BWEWx4m4vsxVxRr847GYKh2gzEwpHVaqWBZUJeenhA119PpC1Uv19urBnb43YmS965V6c2G91AST59favmS,fRwSG1LriABcwafhyR1JuYj5zq2ZQ27pkChg28d4a2k,FVh8nzEjWyqcBS7dsEmDBLwg2HSwdGL6LnKtbDdWXuYs,9.80204428
3dVBdnJGzdJRvgasWMxouoVXV6ixEL7R7sfVaehRYP8Xcf2i3FDGCWbbWkivBot6CKjMJRpMxKB6SgTHHPwFN4KY,FVh8nzEjWyqcBS7dsEmDBLwg2HSwdGL6LnKtbDdWXuYs,4Wv8Kn7PPZNLyWFLRaFe5Hqb61WFB94Bhps5P11Xj2fw,10.5
4QMgHTTeM5PzZuiE1WoxRtiWQGkoYtjCWdj9599L41QRAsoggG6H1EpbDgvQjLLSB4bfUaf9wxwJyqoG3X592MaR,4Wv8Kn7PPZNLyWFLRaFe5Hqb61WFB94Bhps5P11Xj2fw,8x9nULtyutnHZqKbndPB95zwVFhyuSPtXHevwB8C7xay,2.84
382HP57rMAFAGvUm6ZMrhqar7pTsztiUbuqLwJQeJFrebtoG1rPcKJGoay8tQa6zSmXfLytSeBkqrwEh6Ci6ZwKt,5Zc4odh3mQnP4oonaDWSe4ZRHERjrrp5nkqyRxkV6Y7u,3Pd75JyDE9rqY533JAokfHXyrSETDdCzkzM5Pi3KsvSo,2.67
3UHD6qtkhnrhb1cZh1vLYp2ru8PQ6r28WRYM1LTRSsL9GGTFj2zviHLvQdGDbWat6ebqEyQQfmHpHPVNMmvJme8j,3Pd75JyDE9rqY533JAokfHXyrSETDdCzkzM5Pi3KsvSo,H5VkB5EMvvC5pfwTVeA8uM6MZHihRouzqCPftxyHyWap,3.19
5NBFA5RzRtpY2vQUpCRNkHGiQpPQb6g7SpmeW8hKPq7EKTMo3Cj9MH2bdRHoYuxFW6Tz5FRmgxtBVu7uRzP6Wht4,5FuSywVrMpXHU2HMAYxw8TBJ5M2uwrC6eWk3UQrkpuYC,EztkppUaqqkSHMNyn1d7tedxMs1uAnHQCuBAN8R73ZQL,6.969
