hash,buyer,seller 
4PJzGYa1siGzjyXgWy458Aa17yQLBndfoN7U4YZXMeJf4f8faK5JY5HsGKhmRnj2VroKztkRFHBfggnYhCFCnicd,8wR8Jki2tmdR4mYCs2Dg7w6ptfz6nSNab6xXchJ1hUth,ED3N1JiRmXdqgtHP6GoZraECRDV6Az3diZAsthic5KVJ,1
5297HaeDR63XuR2X5khZzs84eT5opzSZPodwnu73E2f3coTbQnQY86Toeb95LpgGW4nWyij6L4nG33x9VYy55c8,H2bCgrvETySHYdd5es7RZ7yKeFxWKgNmrdS25jxgo8fL,eZxHnQDi5kHLjSEPZcbgVHJ4Fts3VVFFqazsozZpTbf,1.9
43BNb5THcrLH5Eqh39hmpgZ1ma7JrMbQoxqer2KxJbQAS13H8GCkcjJXNCXQqpmmEhfkfzsWVYHYsA1Ht1p8GsL9,v3zrW7bQh12viXNTWNVPF6xpWvLpts8kKhGN88y8euF,2hvRhMncYaiWXUCNjL9armUACK3J6dnivT7jRXrngL5c,1.5
5vmKu76HGd1GUZAEBPK5YRusGY9gsFd9V4fqAGRCpTsujpUh9g1kJmP7UoTBC1EDMgeRVAumqaPo7eQR5Wg3tobd,6kCLFbHnAs4iXWKuWFsRF9CiyaoQ54T2vyvHFy3SPTCR,BnUzt2ZaiWbrgXBb9mSRh5BUgyMrFuXXYMYoo37BRhHX,2.24
r4eiBcQbtmnUNLEpVeF2UwwW4axHKxwQhsed7wbNX9GXPvUqNf6x1Wo4BtYqhYwqc6if8sqA3kLWWBkUAGeJ1z8,6LiB4NXnDjKjJ7BMERsMrqWqG9V45mhYaEA1hTEv9FXM,DVtPTMGQVnxoBgqMmh94aF76VDYMGuzrmXYTAaLjnqbt,1.325
5qYnPLYoSzfQPJ8KpN5Z6e8q5nFRt8NRmtY3DCpB8RMxxVb7TxmLRrhqNbkVKxPrr2gZL8GY4Y7cJhcC46WgBnbZ,DVtPTMGQVnxoBgqMmh94aF76VDYMGuzrmXYTAaLjnqbt,HZEzMoHxRpEjaSq116BwvdtnX7PZtEw3AKbatUzboo1n,1.05
64xupujKdGCMb3FXpNjekcimbt3vtA48ntHHEvLE19bsEpuweT5rCSDGTxGW1HucZJnLUEu67q1Mc66SiLkwh4py,HZEzMoHxRpEjaSq116BwvdtnX7PZtEw3AKbatUzboo1n,4S5a3AbQrZ5CjYG1ucKopuzYVFXVpG1mFjfn188C8mc6,1.85
3bETs3fKrFHcKtDFDgBWVKdmrEaNv2iDBxMmuMrg1UrSfy5UqdPWD5DvUckSqiYjnFvXdr225TLHHXyp9mf8Ay3Y,7ft6VsGgZEYiCV85mQjkuPodppXuPCrwDMZ3hqagx84x,HS7puu8KfxjfGEEURQy4SWEqEKmqXfogwL5N2tAtzkHu,1.0999
2iaE5hznzFDCgGCjNAmi11GchEX8c7b6s67K7MbWUP7EkLtsd5mWLnynoojiGknqa2jmfZ2nh4N29m76zQEpUK5Q,HS7puu8KfxjfGEEURQy4SWEqEKmqXfogwL5N2tAtzkHu,FYouRQbrUbG3bzRGv3iaTAPuxWgHdH4raxxBHo7w1M33,2.16942
3z91REQy8W87ip8owPKFVJnZXGtxt62t8Hxpu92pLgF4HE4vmFDFto8PSbSNuG8FFE58R36nJiMqNwYhA6xyFLjA,FYouRQbrUbG3bzRGv3iaTAPuxWgHdH4raxxBHo7w1M33,fM2k5kgMUNiqUqpcxYBT8CPHUWY9KK7HShtoCqj4cw6,1.85
2tfU9gonpveZ6DgBqtS482EJmNjjywKi4yfnRozoGfX5SJsgJiPtmNrW8twT6oFY8LQJc28SB4rkH1XtoKgnfBJi,Gba82KRRKT1ciCVraHXYKGXRY8gQjHdsqXj52kVMPgdW,6dGryLPj21kUpM6ByGDc4pyCPz3EGfaT89F8JXwQ5RmF,1.80204428
3eSw9h5qbftF4AL9izj8Q95spQwu2mL3KwrGhwWrNkrVzpH66rqRh8XYJkQLwNLP3caC6tmLLy5ZVYffYHMkRRPv,9qN8CtPqaYPndSNqby4Uhp46jwzu4Y9dyHHN725qEZbs,4kpH3CTAjCiMhHyCUMF4UgwzACdKoZTmcNLafLBHaihT,4.8
5d5NeSXvdEA7Lr9nwypeLv92iC3HNdjQZhbr6kCHjDgf6RhXPJs27wo1uanXpJpTy5K7rX7gkfni7JTJX18HT5qn,4kpH3CTAjCiMhHyCUMF4UgwzACdKoZTmcNLafLBHaihT,9eCrHbaDEc4KHKEh8ZVVMtMwbiDPJnHBzN4fSLnMEt63,1.899
2sg7acrvtzBXB2enAAqoCWXcwWi2r47zoFDu7WSvNfewdsqQkWEcSHpYBDAhPLdrkCR9qu1Z1WrnJ53A411z7P9Y,3dBDir4Uvh39Xdp6FwjwUbzXHmABXRMHWvsJrCHXydY7,sikeFmNtvsJa5khnxFrpzVRuMnko5XMjJ3Yc2G4jhdS,2.133666
EQhxU4b9o3MwSFbHsP6kwDy3cKQGdqTWdP4wAdYyHudvnVpzNa6PGE8Bze4CGKuhekPmcN5MEPby5PAv3R95434,2jQLGeDiNoUrwKpWxfuzVU9SNMsPxHMpgxFkaBfUFSpz,8bfzwkSvHpQHCXFvBgbaP4C8emRiWdZcccs4gvCgtwrR,1.98
