hash,buyer,seller 
2tvhC4jDHpxCDPVuEUD8fSBDYakqPqrYysf4SJuSeroTCvQQU94bHBZHe8AzKdYNTL6uN5ebCwTLih2HkeUTy5Vf,ESFu4PHN4uSLgmM1Q6ixxmH8SMfxo1Abrdf6moSNoTWm,82xrbEYspRUphTertLaABF5yDb6VjR9q5nasAKPFusqV,23
58wPnHd3SxKmVzZ2tgHDSWLM74qqmWYmXV5Lw7UAxQifcXpfiEP9uHAHmVL6TXGe6bBnQ9Q3YgoLjNVkunNREVrS,82xrbEYspRUphTertLaABF5yDb6VjR9q5nasAKPFusqV,F8owpRdVD2GrHc3CKS5ySKpi5kPrBp1JEKP436LrPepn,20
25LgjGCkTW6vLS1JS5ttAEKHuDsRPqrngup4rFT5r2hJaZFtoY98B7Ajvnv7uKvEXg8HhLjrQqbT3By1WAYTb43U,52LwwwaTG6AxBgs2UhF2KUZ6CngK1PiSRyKUpqRCroEU,GN5zGPMeQfdW6eH3dbhRUJ6KWyUa7hUqw48NNZRDFwjF,25
53yKDtDsbxSpXHbyuqVgKXToemKSLxqGrpDc2NYpSVzVNzeU3qxAHidSYgDrwHFtQerXsHqpnZvrbpdd3hcosXFH,DGLGixcuE1iDE5cNUQSAKZvLPjpxyVMFPz1fEsmY95Fa,5Si1xrVGsm5USnvy8bLr6f9zUPRSfCzrsPmUUKHcrojj,17.7
4X9BxK9trk1VciLT2Kxj1hNC7WEYqXnBvn6z6fzaUdSJmqZp8scNfmqYEWatzDESy2arJqZ6DKrXTQi8et3GaSDt,819m1Th583NY8RFyhNnh3eAJnDDJWiDPK8sEfCPU4Cve,HsVqRcWuiqDU3PeisBsKeB1Abj6NJTvEfJ4J9WY8amQE,15.99204428
48vyRw1pSCBRrvfrY9fmXeLX1DpfnKKoV2saytYo4ttJh3DvVtkGou7otimZMv8BczcJ1hdKQGSgBENeCfeYSbKw,56YBGBWpEQCVHanWxJzhdsJwrWQdM4MqFFPvLSEPYMgc,JBijgheesYDGQZvK17rg7B1dbXZLUfC65C9oAi59U5wm,17
3xcRXNoRXMRxWETi4XFVwtU4rs1snFkYJLMN5CQL1gbUnez65zL2cu7FE7kWK7iHaHWNSKMDW8bJEbxi2yrre6sD,JBijgheesYDGQZvK17rg7B1dbXZLUfC65C9oAi59U5wm,GTgs9f2eML5Fgr1meb4fpXoWH5xNYfLGheEtB6RLu2s2,19
3KRQ1h7r9frXgpWEqvKUabJZLrh2J4jhmMrsBsdb5LDCCG9iq75dGBPJzeEQRKUcgarLzefFoNQgMURF89uEznm5,8V98j4xGca9CDC4H8uYiTyvZEuYkSjA4VLX9mytYPHc2,7xRbxBc6TFbQ3rVjcmJnaUXih7keaSu9G8JdENcYqqMK,25
5sKG537iP8BU3ssBu8GZQUsVrdCfi94gWuubuKmpAUarzQXzNbLBP5Zr6T5wMCnqpQEQ6cw4VaAFH4XADjxmHb65,6hrMXUeUnu2ZyifAvYxPP7XXSswVQxkFcN3RmNGsVzZx,D3CxZoShow3NNrAiYxSnwVgw3Vhue6wcKSazqjz2q1TX,19.80204428
4wF2T6fiXQcYh6aiDGtETvWpx7u8jBvb5k7xrcE476BDZr6dm9t4fkMgZFzU94GSS6oT2rvgm2xt7LeAtEbjy6E8,D3CxZoShow3NNrAiYxSnwVgw3Vhue6wcKSazqjz2q1TX,EsAZJZYbhjJiSa12iaFpDitGHiro8LFGWXSQHf1Mnvda,19.79204428
44SSoAAkLjWq76sKxAY5vxAEFjD2sYFioUUCcaUsGngRdE8L9JZ2kiZVW6vySWjk5HwsFUkt29PhBpbyi6SveSvG,ET6F9cvtBPnkzoX7kdSPbRqzuVMUGVwUwokRL4DC4vtH,CK1JWSRTg6xR5figzaTJ52ucWy5cHs1xvh3HyLS27JZw,12.85
5dDowV2Di4ZHrJQQJ6LStisk2rNabWw75mm8SZbR1x7QbALxQp9W9G5nkfRA8SMW1m6k6epPdDYAS13i3VLFb4xF,CK1JWSRTg6xR5figzaTJ52ucWy5cHs1xvh3HyLS27JZw,93WbteZH6nrWeHd5JT6mJE5VHbWcCTDZzzqqnpZ98V9G,11
3Qa2DoUi8NuiiWUkAxefBJVuskmcmU3RMAE8sEWRNSwMnfDZcxe4dTWfNpAwbUqBV1hiU1G8A7m4VemmLfhnmcns,EPmBRVZxv2Fsy41R1tmgdDCUmCWWMhm9roFN4dFmZehX,BbYoV1bs6nsSgh3EbFfdSAdH9nK6cq5abEXyLu7dDJB9,24.5
2ZeswWf9L5iuuMDq48r1VkzY8VLFmBmjpDuvK3zy7stoM2HxNRH6AWVeAFeJN8uRvhZDVGuXAkwsHcSyzFdn5y6L,BbYoV1bs6nsSgh3EbFfdSAdH9nK6cq5abEXyLu7dDJB9,6VK37yY7HTbdDhJbZgwRcHS863JvYRdVmR1DtC8qW6br,24.5
2JHwwgvWXyDBav5d6noV9CNv3cfEpk6y37N48yy9stGUgfqzZ9FLSyZnjXhLBHHhEPg4szaLAAkvgcazedNV86Dk,6VK37yY7HTbdDhJbZgwRcHS863JvYRdVmR1DtC8qW6br,GJ3BvgMHtPzTkk7MbQ2wmXasEEWVQUnx2PN4J88QYTBm,16
65cwGeDN5xiC9D8MQMFNkhx15t4j8uaJmrB9QsWb9izCf7Y4B9BrM8ZBKFetjLmC7wut6ZWGtRrqWTogvdnKgWr9,BeQzzp9RVwwarFD5tSLDZdUUFgLwAbTrXWeMh5y76Mk2,7NswyJhMYwXk9TWwQHHURqdoscneiuo8DwemYyb4dMAQ,17.90204428
3K8waAL6WTQeVpw8vfLmMBdFHLhxMvtRyqBMHgtBA4QrTcZu2yQMyum96Cn8nsiiEwY5ELxKQq2uqCgADbugaTND,6xgCSFhvzuz9uxLfxbUniPkgNdTGiCViNd4rnAsQxBii,CfAShFXXYdawvndZ2NWKWkbsBqWVPzbsNhr9w4DkqyTi,16.5
3eTVAqiQHmSVdFBu4Fq9twZ6rRCJYCb9AbnSr6pZDCjWUvEv77JBQNKstce17DGqREzVbww1kmpNMcmiLRQpdeZf,CfAShFXXYdawvndZ2NWKWkbsBqWVPzbsNhr9w4DkqyTi,DrUHRXULpAPorg6XXNbWj392MPdCXCY65CprNqJkfBwq,19
HvY1wbP5Vrz9hfX5XU9ygYy68Xp2NjPAgg9NaC3e75yHY8GWGW8VJCrAfU2ULWjWUAH9aVJBij4evcuSYwUR13X,9SdpdjjxSaMdopJNDTBPs4XUZmsT66aDhk2QBTndnjbU,3GD9GdVi8RyQtzfkhuy4GybFj7SieWNb1BsSzpgg1kk1,15.99
37K4p152ieZ4BaDMbBsFiuJ4PqTXi6sw7jpZb2uq4tPDTB5MiC2fou6XG3Tn88us8KSRWSSK2qobst1STeuXnqtR,3GD9GdVi8RyQtzfkhuy4GybFj7SieWNb1BsSzpgg1kk1,CwrkooSJw6nSbn1m4crJqnJrhUVibHteVczcMbWVAqZr,16
2PPzKrGcEkKJDyTydCbXCC5H9ZK65TydRgYobyAKLpXkooCury2ywLsJwpp7ETgjds9LguYeLpneAn9CJZXN2DCi,2F2G1Vz9SdDt2Qn15j97fEGtjdS5R3XVK2PCciWCsmjd,AM5aJnAq2E1Cjp33zFPw2Ri5NhSKFJ6oqvZ6T5VcZjd3,15.5
