hash,buyer,seller 
2xmjGqf6a77PHenkigFS6eyQxgqTTScwbKJkU5kBLhBPb8XZryhWALAWN5fwBDbTSgcd9tq9UdHYeNoNwhVQYrL7,7V5N2XzPF8UDJm9xF3JJGmrzKzd92RwjnFHqGq7qcgta,CrsfajoTjcNyyXQ6aFrRx6s4j4okmHibGnjTLoxncQmj,0.55
YZGR9Sqizv8w5jrQnKvGHhB6wNP5Xnr1X1rTGsVwX3xWmx5WfeRdMDbnzLKqN9879SBn6bk4rwhtK9wZeBGvRgK,CrsfajoTjcNyyXQ6aFrRx6s4j4okmHibGnjTLoxncQmj,AsZYUpLckPmVeWCtmuaC6rnxbxr29WdLogP74FvtMSbU,0.556659434
44F1Sgd7LVyqVnXGv7SN88nwJCvrkxxaqQmi6jSMx6A1iF5amBfWv1DFF2jq6VwNStyMj8Kx8Bmji5G3mpgKYL2H,9swSE2KpoDV9Js2ehk3KERzFrkQFUQHprj2itoT6zNre,3Tzs4GAGAfcnXdCPJMsrrjpnM6ecEPiCC4LvR8Y6o7bj,0.39
5Y8kj6wfLJEPrUaRcs3RVWjPKfNdjMs4nMsKcQGhgymRuDkxnioGjaUNmxc9Su6B4A9nBgnFvyXH7WHkU7XJax6v,3Tzs4GAGAfcnXdCPJMsrrjpnM6ecEPiCC4LvR8Y6o7bj,B6KrZErfskN6mAovKSdjnqhH6bbd4jdbjnfDVNUdDiqQ,0.42
4AKxAvMNWdUmURj31piqKmuNtyevUnLhPyTbNDvgwxFQ9DTwvXkQ4QTnvJLVNgLSnXXEsehmSCdd7XQPRSU1GgY7,Aci6FAogYQt6cueGNmee2Fu2Xk9Q97yd25FavzwPt9Ge,AsZYUpLckPmVeWCtmuaC6rnxbxr29WdLogP74FvtMSbU,0.434944912
5BMF3fyGEMr8LE2V56u1PsFCVZTLzMjds9ZrmxUntFFoQAwPZ1Y7vLnFb7cih3SfdTCMd54ycHX7dFJ8PN6HDa1d,2BfuimX9S3etn1TtPLVZK58SWxQw42sAJuH1vwa9RC6J,8JyM3NktbEHiby529d8YdwK9a4VWt8AMakyQx5vf2xm2,0.54
5Fo8VHbWEtREmDLUyu95swaDUe2kFereabnHavWNu8788fJezZvjYPUevzqP5TyVMkjutN3uHL5WLeaf4c2HcZF5,8JyM3NktbEHiby529d8YdwK9a4VWt8AMakyQx5vf2xm2,6EWkb1jjdAwiXnzvjqcMrTf4EmhMZ7xnCEGQrpjfivZf,0.42
2sz48xkn3zf1vo7q949fiRr6LGRuhfdEWCv5TQnKEe8HXpDuznD6rJZ4ic5YeJovkdZEjJt8JhWPvuZQjSxv9GpR,6EWkb1jjdAwiXnzvjqcMrTf4EmhMZ7xnCEGQrpjfivZf,9ndeu4qTctfHuXezQQEoMSZGinMPPxp926N2krXYW1e8,0.7
3wP8ddTx5zLXaJ9VNqkmG3Ki4NxceLiziU3mPsGktcoYrumu3TrjvtMzETgaLVjqHMXESdkj2F2fdG4XxTh92oqG,9ndeu4qTctfHuXezQQEoMSZGinMPPxp926N2krXYW1e8,DJcU9ZDGB8gNgogfBYtsTosVGhrjZLSzSHGpF1KaG6Lb,0.46
3xZyAiYhHNdKsDNQmhRfHEgdCKGEwkEzq9qJJvFnzeS6qSe5C3Bwsv7xUxmFTrWLLNVdzWbnLgsbUH76xUiEDAhh,DJcU9ZDGB8gNgogfBYtsTosVGhrjZLSzSHGpF1KaG6Lb,5owFsB4H2ZAcuufm23fPq77mQoZZnA69W2o2qCJxZ5rY,0.5
