hash,buyer,seller 
3VvSpKFb722HhnL8FZkxn9kHtguqU6c1TSEwamgeQkDzKjxTgrkGT9wdJuwA6oBPTCUTK69XADrzVaz6JxBgzFnE,4KDN3fw8Qz7LUXLmyExp1ctcvPgMazjeuYdtuDfRcU8Y,7FjKdzaYsrFjNC2tEhYMDBKEsNJyAaWcd1EUt9FdjqsC,1.7
2SztV2SSYK7AiDjJyKCjFsww2CvYLERuaV5R3gwzD5d9Yh9YmJPoRMCgVaNFha9kRwvSZBZPTNwKVhsEsLfmaeo3,BnVaffPc3BqbmscZ3y33qcYQ9UwyxsLd1MaT2NtcAMcp,6FAxaPViyurRGKVDZrxFB5wyxrMb57jh22FUPffSFcmu,1.2
5YH8eVro7QaxJ7BrMVRKYEQqr13T7JKoTbWr3N9R9sTtyQsVpe9pa6f5usr1z7UdQ7SPkhAfQwMWzTEaqj7FriBz,7aE9hku31VFm8eHeTY7segkLYNavf4efz45fJRGH7GkY,2wcP5jyJekbad4BBEpdsKxvJRCNSFSe618D5dJGAqtGk,1.35
3To3yE1ExMmMpfBskqBJyLuV91bLb4NpVLxF3ZBn9mYQoErEspudLcKnZ5SQkJbVQMrSJRZfv7cP1vGJ5KDnFcTs,2wcP5jyJekbad4BBEpdsKxvJRCNSFSe618D5dJGAqtGk,Q9rztUD1GXwQdJLkCcZJoafhR9nNA9FSsKv5ew2p1dz,1.84
4g42sy4mnkX7L6RTGi5ju8CDaLkDPvaQiuEsRAByaw2uH938D9MfGZJEApHszGmrhyLw1Fbwm5mMb6XtGTTt2XUP,Q9rztUD1GXwQdJLkCcZJoafhR9nNA9FSsKv5ew2p1dz,HGBaHM45swJ6T9AGvr3zyeC75s9egjPwbo7f9chmGdW4,1.89
3NZtyAhk9HoVhccZanMmQJ934Y3ZbgXttLdbYSy2aZPh4ev1JyMYVs4s5jX9zyg773HRTFJoA8GUQNNigdSxM3YH,HGBaHM45swJ6T9AGvr3zyeC75s9egjPwbo7f9chmGdW4,8UBdK1nzDz1AxjL419nupiciv1ctyEM4imckRuZrByD1,1.4
4aHxYFrmRPsyxUeJgfELHrC8Sxz46C2yB7tnbErAqQP8xcUsaZy9YFf45WrRynCwVxxWnYeLgquUX7GB3AZKSjX7,7aE9hku31VFm8eHeTY7segkLYNavf4efz45fJRGH7GkY,2wcP5jyJekbad4BBEpdsKxvJRCNSFSe618D5dJGAqtGk,1.35
ufq9Abf3hvLBEUNDEaL8AJCS2X2Bambc1Zj65iUhMJZ64mWJ2jUkZninXn79mz5HPnPPxXvDwjMQwiq8zfqAvan,2wcP5jyJekbad4BBEpdsKxvJRCNSFSe618D5dJGAqtGk,8MzF2wRpCTtKAbrtxN77N3ZFGmMQPULF33NkieB1HQzZ,1.8
3BjhBUTrjr4EwXUpsuyGTrTy9etiG93PQMhEv2Jx2CvdkhZ7axpCVWYsp2XJPZNh4fNrBLz3uxUdc9yNNEqN8Ze3,8MzF2wRpCTtKAbrtxN77N3ZFGmMQPULF33NkieB1HQzZ,68DjM6fkbWSU5SK6Trcsvu78LU4KwSRNXKfivQevmrCD,1.495
3C7D2TtR6FYWyQk9bFspqje3VDPXxxtChEhh5nZqExYhTwRAntmrhkHTveEXEY37znACZQbKKEDrgqe2bCeWmyjD,8YyqtqJuz4hR53Aam1p5ig8egC3egcCFBwtYuW4BnXXa,4QTnaH8u35rNqEf6qAt1cFEr7sKJL9ZXfkvmfN3QJbH2,1.2
2eG9RjFUbjGzGfkothe1MqgaUW2fumb4MomKHqMvqRC6NHqSbd9eVzNud7KWxD8wNd4VqmweJbhyD9QN8fsqG2B9,7AQMfkkQze25gZ47ZxWizrSUXC5hCj7Fhz8hAbSdYutm,BuiLsuSEYgjKyzbGtwdum8poo1P1PrVSE8eSTabKnKbr,1.249
5DndXw8ric1JRa7rRGmXpSpCAKAuH5w7BovydZFJjtp7JJuWVELiiGiP3j7uACHmMXX1acVNWrKmQpj41wJiAYCP,3fSgeAhKuwMQRGVASqQkSjdxpzLQ2XLHi2FDgtgDfs2A,8iske5754JBDH9yCVwf1wQEMVwD9Uqv9W5oN1DuF6Y6A,1.16
3oGAkxmdZo76UEuQaNaM2PjQFdrAMz5fbnTzV6BghYXJVeffHJWNvtkTLazHSawr7oBguTUbCsaXpyjxKePGhd4R,8iske5754JBDH9yCVwf1wQEMVwD9Uqv9W5oN1DuF6Y6A,B4mUUMiM6o82NjLzHXw5yQYdByJZgyaJcTMc8krLSRB8,1.39
2k4FNKtKx5ayiv48vxAbacpiNC3VWkx9Ff5mp2oxv6zsNVchyW18TWbVtpzjQxGTYpmHErKiJangj39Aigps8d1R,ACLwGYEoKZQej6aUJ8eM811YkjRwfvY4AiEsMTqKGNuh,3wQbPcFArr9DJVatGukdRfXz3UMA8Tdrkgg3WyJiiEqS,1.393110484
