hash,buyer,seller 
3eyvad8SNQCVUqdC6uUD8kqVA1mEJ8P1nP1x1LFzCXdyLeX2w5ozBgquyQQ7TpB6Vfuc4zFAR7P7xwBvM85Zm7gs,GeXRvNieXh4yD1538JiJ4Dcrk2NoMGAWApckuHLXtvz,9TzaR7ztQipUnGmTcjT69rfjaaNHmacWSoWVvqUsj7PS,33
4PXEiAQFytL9X3WQCATPYcDmk9gQeXaHnX2wgEYohq6Wn4NQXQ5zF7xqYPLgMT3HcqsdCQT7xpH4fBm5RLP3fTkN,DKUKP3S28faF2cKdgCY8fe52S8WQR7UZhHqNbsEfP8Sn,4EsRnobx8ZsnvrjqeoHmSLbmKL9hkjGNzmVVeJEy3w7i,8
2qJ6aYUv2RSascrxnKgGDNnpPPnBEWAtYdfCNuCCtoMTm9d5w7X7aePKD8wABoC1weYpMuL4ZQmM5myUV1nTVwwN,AfGQzePJvj2zqB9hkpk4d7vWKNYYZ3ecW3cdZSYiEgiT,9ynNYKh6V33A91CHcB9ZF2Ra4sqgB2o3YsMdtKpwNrtL,16
NkHercJLnaQQXNyLab6p8PJokLpm9znG4pcWxh8uPgPh3RH6b7a1pP7yJcTUScNYQPq7ihCQee98GQmpm4oukom,2QtG3yLKNsrBJPNaG6rhKcAkBzwN86QZGwK6GVwypeDV,MviZv9Jz2MJhhekftrELKc1trf65Be57er1iPgiMz4V,20.35
36oD8PCqds7H7UtPEtkp93CT1PXt7DuDX4cu9UZD5jEyUBdhtKwttvHGwY69aVTaojXbACGKrbmdyKjY4hrcGeAd,9v9REUf8jrwZ7fWxShX7ibVwV4F1crdZLcsPeexZVxqn,27P9pGthjFkMt8F4XQakngUUs5NsWYXsT2z2HrAs77jU,21
37ohZnCXyfE65NMkDtiyxN3RMKXY4AkbX7iMVQhtfZZT1WcMhqUTDMhbuqRRWvwgTdRF4XET2asnNTBf1rHFWgka,HTJB836oJQCc8Bv1cAqcJgHe7uzTD4SMaYucfdJFciEA,HbNVGCF6MhUmSg5mYikaQFtkjxkKsq2svHVWR8Be3fki,17
DyKBrdDcTtNQw2dFjbABg2ZfcptiC77Dw6eEGD7ZMvMGGPcm881rC8WV74CAXzexLfaH9NWjGciJtJL1BTuViNX,DFPTF9vw86h3VZFJgadTE8oLwRGcQKx1kU3B7ymuHDFe,8uGVUsBhzydp4ZLXjtHoctkrAp3srtEXaefdKnfyxbHf,22.89
2WqJzVNQxPdEiwtePMvF5cwaFKZ8UHiDAJBRHvdNAvj5kX62fuSFSumyYpzkqV2qYfiEQgwydghe3itsrDVV4spZ,29hcg7nN7unogHZTe72dL9C6SSG2hGbMtmK9egS7guub,yzdPQwpk2ZHVyRSWqYw3FBjjcPq43Bdvk35f34Gz7TY,20.4
PWrnHGZ2LfVkPx6mxitQuKCyFkUkdpa2QhNL4dwStNk1ubfBtRdP3g4xeSbCZ26W3c62sdg2zYRWLGFyehMkLvZ,2Tu7grWTMcYZtYsPcoFk91j8n7XEAW4DfWNoGgreYWp1,GEhDXjaRZZafBeGcPg7JhW7w7bGZhUFymhZg8Uz52EhC,20.5
4fkfb8cAsF7CR3sXvZpPKL64KB81Pyv3TRhEea5dvKSMFfJxE7T1Q49mtviG3R64hxkJcLKqPD3FDYTBXUnXHU5J,9YSNwSryZShgk7npWrZh2cMc6Utd4aTXo1tvpyL9EcGb,CshTTcyBT8HpjEWFoDHVPoH3JmJb1ciXK3dvFsvg2TAm,20.99
VVbfXuYjNdJ2vAyacW7Eax2VVohwjcb11U4PAbrbhGgUyHxahHAFyTMT155oyFo9y14mmxoKfV7EWKjKdrsfaxx,6i5PwyZC4DVM4YyNDHZnQB3vhQAeGynY9cF1fqbFTJxw,HQ4sC8b1VZAGmBPjkwCTpQrS6mJvGANvaGsaaQCss3Tq,21
2vtJcwxmwaePVBzYJ3puXWCZjjTt52fCbnywkktPxvJNPJAjNQG9NKhY19YY25hE7hhGxYfH5FPU5rwtEB5XgRrL,HQ4sC8b1VZAGmBPjkwCTpQrS6mJvGANvaGsaaQCss3Tq,VMuf69mfjMj3CrMefBFwRrjC9jNKC3iAzXjpF6NVAdc,17.25
NSjBvtxePh1Zr2MpoFSUAXzq2oTVBgGZKBncdeP9VWVwPAiZ7PeEQVG9QWeTRUC3rkD4WKUr1vhTWVoKMv6sDPb,VMuf69mfjMj3CrMefBFwRrjC9jNKC3iAzXjpF6NVAdc,3CSHaQwtiFDjRmiGdfCvPGBmLFBMPWnuCf78VWJ9mYh3,22
